address,orientation,distance_m
2 EMERSTAN DRIVE,North,674.16
26 EMERSTAN DRIVE,North,574.55
29 EMERSTAN DRIVE,North,556.9
3 EMERSTAN DRIVE,North,690.14
31 EMERSTAN DRIVE,North,538.94
32 EMERSTAN DRIVE,North,559.57
6 EMERSTAN DRIVE,North,637.74
28 MOROTAI CRESCENT,South-West,18.6
3 MOROTAI CRESCENT,South,25.47
30 MOROTAI CRESCENT,East,17.97
7 MOROTAI CRESCENT,South-West,27.18
8 MOROTAI CRESCENT,South,23.11
5 THE SCARP,North,11.34
7 THE SCARP,North,11.25
17 SUGARLOAF CRESCENT,South-East,20.6
19 SUGARLOAF CRESCENT,South,16.26
21 SUGARLOAF CRESCENT,South,21.39
22 SUGARLOAF CRESCENT,South-East,19.66
24 SUGARLOAF CRESCENT,South-East,23.81
25 SUGARLOAF CRESCENT,South-East,35.54
28 SUGARLOAF CRESCENT,South,26.01
29 SUGARLOAF CRESCENT,South-East,33.68
36 SUGARLOAF CRESCENT,South,33.99
39 SUGARLOAF CRESCENT,South-West,19.3
42 SUGARLOAF CRESCENT,South-East,31.7
47 SUGARLOAF CRESCENT,North-West,31.93
48 SUGARLOAF CRESCENT,South,29.05
74 THE BULWARK,South-East,28.27
75 THE BULWARK,South-East,15.54
76 THE BULWARK,South-East,30.1
77 THE BULWARK,South-East,21.19
8A THE BULWARK,North,17.4
18 SUNNYSIDE CRESCENT,South-East,25.92
19 SUNNYSIDE CRESCENT,South-East,26.93
2A SUNNYSIDE CRESCENT,South-East,15.86
2 SUNNYSIDE CRESCENT,South-East,15.86
22 SUNNYSIDE CRESCENT,South,26.92
23 SUNNYSIDE CRESCENT,South-East,26.86
24 SUNNYSIDE CRESCENT,South,27.43
25 SUNNYSIDE CRESCENT,South-East,25.61
27 SUNNYSIDE CRESCENT,South-East,25.1
29 SUNNYSIDE CRESCENT,South-East,25.32
30 SUNNYSIDE CRESCENT,South,34.69
10 THE POSTERN,South,25.95
37 FIRST AVENUE,West,457.44
35 FIRST AVENUE,West,451.79
3 FIRST AVENUE,North,251.21
11 CHALEYER STREET,North,937.58
10 CHALEYER STREET,North,864.56
8 CAMBRIDGE STREET,West,776.91
8A CAMBRIDGE STREET,West,783.39
7 CAMBRIDGE STREET,West,821.56
37 CAMBRIDGE STREET,West,952.45
35 CAMBRIDGE STREET,West,944.94
18 FIRST AVENUE,North,480.6
16 FIRST AVENUE,North,371.97
15 FIRST AVENUE,North,330.58
14 FIRST AVENUE,North,358.4
10 FIRST AVENUE,North,332.1
1 FIRST AVENUE,North,237.99
41 CAMBRIDGE STREET,West,974.16
53 MCCLELLAND STREET,West,585.36
51 MCCLELLAND STREET,West,572.71
5 MCCLELLAND STREET,North,327.81
43 MCCLELLAND STREET,West,523.98
41 MCCLELLAND STREET,West,512.32
108 DEEPWATER ROAD,North,923.62
109 DEEPWATER ROAD,North,1035.4
11 DEEPWATER ROAD,North,1777.81
110 DEEPWATER ROAD,North,920.96
116 DEEPWATER ROAD,North,890.32
128 DEEPWATER ROAD,North,861.27
129 DEEPWATER ROAD,North,866.91
13 DEEPWATER ROAD,North,1793.44
130 DEEPWATER ROAD,North,869.44
134 DEEPWATER ROAD,North,886.69
146 DEEPWATER ROAD,North,968.86
150 DEEPWATER ROAD,North,993.93
161 DEEPWATER ROAD,North,865.87
162 DEEPWATER ROAD,North,998.69
175 DEEPWATER ROAD,North,794.72
183 DEEPWATER ROAD,North,879.17
187 DEEPWATER ROAD,North,918.91
117 THE BULWARK,West,24.22
12 THE BULWARK,West,15.75
27 THE BULWARK,South,28.15
31 THE BULWARK,East,12.24
32 THE BULWARK,East,29.26
33 THE BULWARK,East,6.59
39 THE BULWARK,South-East,39.88
40 THE BULWARK,South,23.82
19 DEEPWATER ROAD,North,1755.68
205 DEEPWATER ROAD,North,938.23
207 DEEPWATER ROAD,North,943.19
22 DEEPWATER ROAD,North,1491.28
7 THE BATTLEMENT,South-West,28.69
9 THE BATTLEMENT,South-West,28.76
10B THE BULWARK,West,7.1
101 THE BULWARK,North,30.64
51 THE BULWARK,South,15.99
8C THE BULWARK,South,26.96
8 THE BULWARK,North-West,21.72
80A THE BULWARK,North-West,56.56
80 THE BULWARK,South,26.43
81 THE BULWARK,South-West,10.94
83 THE BULWARK,South-West,14.9
85 THE BULWARK,South-West,15.82
86 THE BULWARK,South-West,31.47
87 THE BULWARK,South-West,19.12
6 CHERRY PLACE,North,709.65
8 CHERRY PLACE,North,699.56
107 DEEPWATER ROAD,North,1058.14
119 DEEPWATER ROAD,North,962.0
12A DEEPWATER ROAD,North,1738.61
120 DEEPWATER ROAD,North,862.0
122 DEEPWATER ROAD,North,847.59
124 DEEPWATER ROAD,North,846.05
126 DEEPWATER ROAD,North,853.85
135 DEEPWATER ROAD,North,843.97
137 DEEPWATER ROAD,North,838.88
138 DEEPWATER ROAD,North,909.1
139 DEEPWATER ROAD,North,834.59
1 EMERSTAN DRIVE,North,697.37
10 EMERSTAN DRIVE,North,647.92
16 EMERSTAN DRIVE,North,637.13
17 EMERSTAN DRIVE,North,647.03
34 EMERSTAN DRIVE,North,546.3
36 EMERSTAN DRIVE,North,532.82
4 EMERSTAN DRIVE,North,648.35
40 EMERSTAN DRIVE,North,499.57
144 DEEPWATER ROAD,North,952.02
145 DEEPWATER ROAD,North,831.97
25 DEEPWATER ROAD,North,1706.58
26 DEEPWATER ROAD,North,1460.13
29 DEEPWATER ROAD,North,1668.34
41 THE BULWARK,South-West,36.86
43 THE BULWARK,South-West,23.55
44 THE BULWARK,South-West,27.78
90 THE BULWARK,North-West,26.57
91 THE BULWARK,West,20.34
93 THE BULWARK,West,23.81
94 THE BULWARK,North-West,27.19
1 THE CITADEL,East,29.73
11 THE CITADEL,North,20.88
9 EDINBURGH ROAD,North,334.74
219 HIGH STREET,West,887.97
216A HIGH STREET,West,991.54
63 EDINBURGH ROAD,North-West,74.83
61 EDINBURGH ROAD,North-West,88.29
47 EDINBURGH ROAD,North,123.33
13 HUDSON AVENUE,North,782.75
19 CHALEYER STREET,North,946.14
19A CHALEYER STREET,North,969.83
17 CHALEYER STREET,North,947.67
16 CHALEYER STREET,West,880.61
15 CHALEYER STREET,North,947.67
13 CHALEYER STREET,North,941.67
17 MCCLELLAND STREET,West,391.54
47 FIRST AVENUE,West,484.64
44 FIRST AVENUE,West,514.05
"UNIT 2, 276 PENSHURST STREET",West,1221.97
275 PENSHURST STREET,West,1193.57
269 PENSHURST STREET,West,1180.57
217 PENSHURST STREET,West,1083.12
"UNIT 8, 216 PENSHURST STREET",West,1089.56
"UNIT 6, 216 PENSHURST STREET",West,1089.56
"UNIT 4, 216 PENSHURST STREET",West,1089.56
"UNIT 3, 216 PENSHURST STREET",West,1089.56
209 PENSHURST STREET,West,1068.85
207 PENSHURST STREET,West,1066.83
28 FIRST AVENUE,North,467.97
24 FIRST AVENUE,North,470.19
23 FIRST AVENUE,North,406.78
22 FIRST AVENUE,North,461.3
22A FIRST AVENUE,North,476.22
21 FIRST AVENUE,North,409.41
208 SYDNEY STREET,West,1370.58
206 SYDNEY STREET,West,1369.77
202 SYDNEY STREET,West,1368.24
194 SYDNEY STREET,West,1361.93
190 SYDNEY STREET,West,1360.42
186 SYDNEY STREET,West,1359.41
182 SYDNEY STREET,West,1358.36
180 SYDNEY STREET,West,1357.84
178 SYDNEY STREET,West,1357.4
172 SYDNEY STREET,West,1356.28
170 SYDNEY STREET,West,1355.99
176 PENSHURST STREET,North,1031.33
31 EDINBURGH ROAD,North,167.48
29 EDINBURGH ROAD,North,180.59
19 EDINBURGH ROAD,North,263.7
13 EDINBURGH ROAD,North,308.85
11 EDINBURGH ROAD,North,321.32
1 EDINBURGH ROAD,North,422.05
10 NEVILLE STREET,West,1008.89
7A MCCLELLAND STREET,North,335.36
69 MCCLELLAND STREET,West,693.79
67 MCCLELLAND STREET,West,680.01
65 MCCLELLAND STREET,West,662.84
63 MCCLELLAND STREET,West,652.64
61 MCCLELLAND STREET,West,639.14
59 MCCLELLAND STREET,West,625.78
235 HIGH STREET,West,992.79
234 HIGH STREET,West,1074.61
233 HIGH STREET,West,982.45
232 HIGH STREET,West,1069.26
228 HIGH STREET,West,1058.65
226 HIGH STREET,West,1053.35
"UNIT 3, 222 HIGH STREET",West,1018.6
"UNIT 1, 222 HIGH STREET",West,1018.6
10 LEA AVENUE,North,1087.17
39 EDINBURGH ROAD,North,131.79
20 PATRICK STREET,West,1104.86
16 PATRICK STREET,West,1085.55
9 NEVILLE STREET,West,1008.67
6 NEVILLE STREET,West,984.59
5 NEVILLE STREET,West,961.44
"UNIT 14, 280-286 PENSHURST STREET",West,1237.36
"UNIT 13, 280-286 PENSHURST STREET",West,1237.36
"UNIT 12, 280-286 PENSHURST STREET",West,1237.36
"UNIT 10, 280-286 PENSHURST STREET",West,1237.36
394 EASTERN VALLEY WAY,North,1971.95
271 HIGH STREET,West,1158.71
269 HIGH STREET,West,1148.6
17A GLENROY AVENUE,North,665.8
98 EASTERN VALLEY WAY,North,22.69
96 EASTERN VALLEY WAY,South-West,17.39
92 EASTERN VALLEY WAY,South-West,24.74
88 EASTERN VALLEY WAY,South-West,27.66
32B REMBRANDT DRIVE,North,348.47
"UNIT 16, 10 LARKIN STREET",West,3446.0
"UNIT 21, 10 LARKIN STREET",West,3446.0
"UNIT 31, 8 LARKIN STREET",West,3457.43
"UNIT 33, 6 LARKIN STREET",West,3429.47
"UNIT 9, 9-15 KINGS AVENUE",West,3301.3
10 ROSANNA CLOSE,North,177.57
12 ROSANNA CLOSE,North,168.87
16 ROSANNA CLOSE,North,156.85
18 ROSANNA CLOSE,North,151.39
19 WARRANE ROAD,West,441.42
"UNIT 311, LEVEL 3, 7 SCOTT STREET",North,1401.31
"UNIT 203, LEVEL 2, 17 RICHMOND AVENUE",North,1401.31
"UNIT 211, LEVEL 2, 17 RICHMOND AVENUE",North,1401.31
"UNIT 601, LEVEL 6, 17 RICHMOND AVENUE",North,1401.31
"UNIT 8, 4 SCOTT CRESCENT",North,2043.3
4A NAMOI ROAD,North,899.77
936A PACIFIC HIGHWAY,West,2974.27
120 PENSHURST STREET,North,965.57
"UNIT 40, 28 BARCOO STREET",North,1847.77
"UNIT 41, 28 BARCOO STREET",North,1847.77
"UNIT 42, 28 BARCOO STREET",North,1847.77
"UNIT 45, 28 BARCOO STREET",North,1847.77
"UNIT 47, 28 BARCOO STREET",North,1847.77
"UNIT 48, 28 BARCOO STREET",North,1847.77
"UNIT 49, 28 BARCOO STREET",North,1847.77
"UNIT 8, 28 BARCOO STREET",North,1847.77
"UNIT 9, 28 BARCOO STREET",North,1847.77
6 BARCOO STREET,North,1772.24
"UNIT 101, 481 WILLOUGHBY ROAD",North,948.04
14 KIOLA ROAD,North,524.38
16 KIOLA ROAD,North,522.12
18 KIOLA ROAD,North,520.31
3 KIOLA ROAD,North,465.43
7 KIOLA ROAD,North,462.76
8 KIOLA ROAD,North,529.41
9 KIOLA ROAD,North,460.11
24 LOWER CLIFF AVENUE,North,1071.58
38 LOWER CLIFF AVENUE,North,1047.98
42 LOWER CLIFF AVENUE,North,1021.56
44 LOWER CLIFF AVENUE,North,998.2
9 NAMOI ROAD,North-East,899.51
1 NARANI CRESCENT,North,584.78
28 NARANI CRESCENT,North,592.07
3 NARANI CRESCENT,North,585.22
30 NARANI CRESCENT,North,571.33
34 NARANI CRESCENT,North,545.34
38 NARANI CRESCENT,North,521.73
4 NARANI CRESCENT,North,648.1
40 NARANI CRESCENT,North,510.12
42 NARANI CRESCENT,North,489.78
44 NARANI CRESCENT,North,483.57
6 NARANI CRESCENT,North,648.81
7 NARANI CRESCENT,North,587.16
5 WEETAWAA ROAD,North,608.85
7 WEETAWAA ROAD,North,595.62
8 WEETAWAA ROAD,North,560.54
9A WEETAWAA ROAD,North,585.74
9 WEETAWAA ROAD,North,579.12
10 WOLLOMBI ROAD,North-East,913.35
24 COURALLIE ROAD,North,269.48
28 COURALLIE ROAD,North,253.38
30 COURALLIE ROAD,North,245.33
6 COURALLIE ROAD,North,382.5
8 COURALLIE ROAD,North,369.35
62 MALVERN AVENUE,North,2061.99
"UNIT 8, 52 EASTERN VALLEY WAY",North,177.8
223 PENSHURST STREET,West,1096.94
"UNIT 3, 52 EASTERN VALLEY WAY",North,177.8
1 SHIRLEY ROAD,West,3640.99
"UNIT 18, 52 EASTERN VALLEY WAY",North,177.8
"UNIT 19, 52 EASTERN VALLEY WAY",North,177.8
2-4 PATRICK STREET,West,1018.6
"UNIT 411, LEVEL 4, 19 RICHMOND AVENUE",North,1389.82
"UNIT 306, LEVEL 3, 7 SCOTT STREET",North,1401.31
"UNIT 310, LEVEL 3, 19 RICHMOND AVENUE",North,1389.82
"UNIT 410, LEVEL 4, 24 ARTARMON ROAD",North,1389.82
"UNIT 406, LEVEL 4, 24 ARTARMON ROAD",North,1389.82
"UNIT 403, LEVEL 4, 24 ARTARMON ROAD",North,1389.82
"UNIT G07, 15 RICHMOND AVENUE",North,1401.31
"UNIT 411, LEVEL 4, 17 RICHMOND AVENUE",North,1401.31
"UNIT 606, LEVEL 6, 17 RICHMOND AVENUE",North,1401.31
"UNIT 601, LEVEL 6, 19 RICHMOND AVENUE",North,1389.82
"UNIT 104, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 105, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 108, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 10, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 111, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 113, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 12, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 13, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 18, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 19, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 21, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 22, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 25, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 26, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 29, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 30, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 31, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 32, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 33, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 36, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 37, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 40, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 41, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 43, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 44, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 45, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 48, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 50, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 608, LEVEL 6, 24 ARTARMON ROAD",North,1389.82
9A AUBREY ROAD,North-East,849.79
"UNIT 53, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 54, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 56, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 57, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 58, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 59, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 61, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 62, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 64, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 66, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 67, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 68, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 69, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 70, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 72, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 75, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 76, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 79, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 84, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 85, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 86, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 88, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 94, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 96, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 97, 384 EASTERN VALLEY WAY",North,1772.81
"UNIT 98, 384 EASTERN VALLEY WAY",North,1772.81
26 LOWER CLIFF AVENUE,North,1044.63
37A EUROKA STREET,North,255.69
19 MIOWERA ROAD,North-East,718.47
2A BELLAMBI STREET,North,588.83
31 EASTERN VALLEY WAY,North,308.37
23-25 EASTERN VALLEY WAY,North,352.86
26A EASTERN VALLEY WAY,North,374.56
6 ULRIC LANE,North-East,1048.74
"UNIT 307, LEVEL 3, 24 ARTARMON ROAD",North,1389.82
"UNIT 12, 22 NEEWORRA ROAD",North-East,552.56
1 NICOL LANE,North,187.52
50 MOWBRAY PLACE,North,73.91
"UNIT 301, 72 LAUREL STREET",North,972.08
13 ROSANNA CLOSE,North,199.89
15 ROSANNA CLOSE,North,196.08
21 ROSANNA CLOSE,North,158.94
23 ROSANNA CLOSE,North,148.77
18B KALGOORLIE STREET,North,1164.16
"UNIT 107, 5 VICTORIA STREET",West,2866.43
"UNIT 2, 2 LORD STREET",West,3241.61
5A LORD STREET,West,3182.91
"UNIT 209, 1 VICTORIA STREET",West,2866.43
"UNIT 301, 7 VICTORIA STREET",West,2866.43
"UNIT 305, 7 VICTORIA STREET",West,2866.43
"UNIT 209, 3 VICTORIA STREET",West,2866.43
"UNIT 402, 1 VICTORIA STREET",West,2866.43
"UNIT 201, 1 VICTORIA STREET",West,2866.43
"UNIT 202, 3 VICTORIA STREET",West,2866.43
"UNIT 109, 1 VICTORIA STREET",West,2866.43
"UNIT 5, 5 VICTORIA STREET",West,2866.43
"UNIT 203, 3 VICTORIA STREET",West,2866.43
"UNIT 1, 3 VICTORIA STREET",West,2866.43
"UNIT 301, 5 VICTORIA STREET",West,2866.43
"UNIT 3, 7 VICTORIA STREET",West,2866.43
"UNIT 401, 1 VICTORIA STREET",West,2866.43
"UNIT 5, 7 VICTORIA STREET",West,2866.43
"UNIT 4, 7 VICTORIA STREET",West,2866.43
"UNIT 208, 7 VICTORIA STREET",West,2866.43
"UNIT 205, 1 VICTORIA STREET",West,2866.43
"UNIT 110, 1 VICTORIA STREET",West,2866.43
"UNIT 102, 3 VICTORIA STREET",West,2866.43
"UNIT 309, 3 VICTORIA STREET",West,2866.43
"UNIT 7, 3 VICTORIA STREET",West,2866.43
"UNIT 310, 1 VICTORIA STREET",West,2866.43
"UNIT 205, 7 VICTORIA STREET",West,2866.43
"UNIT 308, 1 VICTORIA STREET",West,2866.43
"UNIT 306, 5 VICTORIA STREET",West,2866.43
"UNIT 9, 52 EASTERN VALLEY WAY",North,177.8
"UNIT 4, 52 EASTERN VALLEY WAY",North,177.8
"UNIT 19, 10 LARKIN STREET",West,3446.0
"UNIT 22, 10 LARKIN STREET",West,3446.0
"UNIT 23, 10 LARKIN STREET",West,3446.0
"UNIT 23, 8 LARKIN STREET",West,3457.43
"UNIT 24, 6 LARKIN STREET",West,3429.47
"UNIT 24, 8 LARKIN STREET",West,3457.43
"UNIT 26, 10 LARKIN STREET",West,3446.0
"UNIT 26, 8 LARKIN STREET",West,3457.43
"UNIT 27, 6 LARKIN STREET",West,3429.47
"UNIT 27, 8 LARKIN STREET",West,3457.43
"UNIT 28, 10 LARKIN STREET",West,3446.0
"UNIT 28, 6 LARKIN STREET",West,3429.47
"UNIT 30, 6 LARKIN STREET",West,3429.47
"UNIT 31, 6 LARKIN STREET",West,3429.47
"UNIT 32, 8 LARKIN STREET",West,3457.43
"UNIT 33, 8 LARKIN STREET",West,3457.43
"UNIT 35, 8 LARKIN STREET",West,3457.43
"UNIT 36, 6 LARKIN STREET",West,3429.47
"UNIT 36, 8 LARKIN STREET",West,3457.43
"UNIT 37, 6 LARKIN STREET",West,3429.47
"UNIT 38, 8 LARKIN STREET",West,3457.43
"UNIT 39, 8 LARKIN STREET",West,3457.43
"UNIT 42, 8 LARKIN STREET",West,3457.43
"UNIT 21, 303-307 PENSHURST STREET",West,1263.14
"UNIT 16, 303-307 PENSHURST STREET",West,1263.14
"UNIT 24, 303-307 PENSHURST STREET",West,1263.14
"SUITE 18A, 376-380 EASTERN VALLEY WAY",North,1662.93
"UNIT 201, LEVEL 2, 15 RICHMOND AVENUE",North,1401.31
"UNIT 409, LEVEL 4, 24 ARTARMON ROAD",North,1389.82
"UNIT 205, LEVEL 2, 7 SCOTT STREET",North,1401.31
"UNIT 109, LEVEL 1, 7 SCOTT STREET",North,1401.31
"UNIT 301, LEVEL 3, 19 RICHMOND AVENUE",North,1389.82
"UNIT 406, LEVEL 4, 17 RICHMOND AVENUE",North,1401.31
"UNIT 405, LEVEL 4, 15 RICHMOND AVENUE",North,1401.31
"UNIT 309, LEVEL 3, 17 RICHMOND AVENUE",North,1401.31
"UNIT 410, LEVEL 4, 7 SCOTT STREET",North,1401.31
"UNIT 405, LEVEL 4, 24 ARTARMON ROAD",North,1389.82
"UNIT 505, LEVEL 5, 24 ARTARMON ROAD",North,1389.82
"UNIT 401, LEVEL 4, 7 SCOTT STREET",North,1401.31
"UNIT 402, LEVEL 4, 7 SCOTT STREET",North,1401.31
"UNIT 203, LEVEL 2, 7 SCOTT STREET",North,1401.31
1A CLAFTON AVENUE,North-East,339.77
11 MARANA ROAD,North,888.01
57 KAMERUKA ROAD,North-East,149.85
2A NAMOI ROAD,North,960.98
"UNIT 302, LEVEL 3, 7 SCOTT STREET",North,1401.31
"UNIT 209, LEVEL 2, 15 RICHMOND AVENUE",North,1401.31
"UNIT 402, LEVEL 4, 15 RICHMOND AVENUE",North,1401.31
"UNIT 109, LEVEL 1, 17 RICHMOND AVENUE",North,1401.31
"UNIT 11, 22 NEEWORRA ROAD",North-East,552.56
"UNIT 409, LEVEL 4, 19 RICHMOND AVENUE",North,1389.82
"UNIT 2, 23-25 EASTERN VALLEY WAY",North,352.86
"UNIT 4, 23-25 EASTERN VALLEY WAY",North,352.86
"UNIT 6, 23-25 EASTERN VALLEY WAY",North,352.86
"UNIT 7, 23-25 EASTERN VALLEY WAY",North,352.86
33A EASTERN VALLEY WAY,North,199.97
45A EUROKA STREET,North,156.7
5A TUNKS STREET,North-East,557.76
10 CHOWNE PLACE,North,969.44
11 CHOWNE PLACE,North,1014.97
14 CHOWNE PLACE,North,955.46
15 CHOWNE PLACE,North,1001.73
17 CHOWNE PLACE,North,996.06
30 GREENFIELD AVENUE,North,420.82
32 GREENFIELD AVENUE,North,401.06
38A GREENFIELD AVENUE,North,358.81
11A THE OUTPOST,North-West,31.25
10 GLENROY AVENUE,North,534.9
11 GLENROY AVENUE,North,589.66
13A GLENROY AVENUE,North,619.62
24 GREENFIELD AVENUE,North,445.77
25 GREENFIELD AVENUE,North,422.15
26 GREENFIELD AVENUE,North,436.35
2 GLENCROFT ROAD,West,2982.35
4 GLENCROFT ROAD,West,2964.18
118A EASTERN VALLEY WAY,North,57.74
"UNIT 3, 76-80 EDINBURGH ROAD",North,63.32
"UNIT 4, 76-80 EDINBURGH ROAD",North,63.32
"UNIT 5, 76-80 EDINBURGH ROAD",North,63.32
"UNIT 6, 76-80 EDINBURGH ROAD",North,63.32
76-80 EDINBURGH ROAD,North,63.32
"UNIT 10, 175 LOWER GIBBES STREET",North,1803.19
"UNIT 10L, 175 LOWER GIBBES STREET",North,1722.78
"UNIT 11L, 175 LOWER GIBBES STREET",North,1722.78
"UNIT 12, 175 LOWER GIBBES STREET",North,1803.19
"UNIT 13, 175 LOWER GIBBES STREET",North,1803.19
"UNIT 1, 175 LOWER GIBBES STREET",North,1722.78
"UNIT 3, 175 LOWER GIBBES STREET",North,1722.78
"UNIT 4, 175 LOWER GIBBES STREET",North,1722.78
"UNIT 5, 175 LOWER GIBBES STREET",North,1758.7
"UNIT 6, 175 LOWER GIBBES STREET",North,1758.7
"UNIT 7, 175 LOWER GIBBES STREET",North,1758.7
"UNIT 9U, 175 LOWER GIBBES STREET",North,1722.78
49 MALVERN AVENUE,North,2027.68
54 MALVERN AVENUE,North,2092.88
21 NORMAC STREET,North,2150.65
23 NORMAC STREET,North,2152.83
5 GERALD AVENUE,North,3259.36
6 GERALD AVENUE,West,3277.47
8 GERALD AVENUE,West,3298.02
1 GLEN ROAD,West,3821.76
11 GLEN ROAD,West,3772.85
85 ABINGDON ROAD,West,4416.77
7 HAIG STREET,North,2596.51
9 HAIG STREET,North,2613.56
98 BOUNDARY STREET,North,2229.13
1A BROMBOROUGH ROAD,West,3626.98
10 BROMBOROUGH ROAD,West,3624.49
12 BROMBOROUGH ROAD,West,3633.74
14 BROMBOROUGH ROAD,West,3643.01
4 OLIVER ROAD,West,3490.07
2 ONTARIO AVENUE,West,3696.72
3 ONTARIO AVENUE,West,3660.97
5 ONTARIO AVENUE,West,3670.48
156 EASTERN VALLEY WAY,North,44.49
53 LAUREL STREET,North,953.8
1 ALISON STREET,West,4049.31
12 ALISON STREET,West,3980.31
15 BROMBOROUGH ROAD,West,3701.0
17 BROMBOROUGH ROAD,West,3710.17
18 BROMBOROUGH ROAD,West,3671.49
"UNIT 7, 134 PACIFIC HIGHWAY",West,3466.51
"UNIT 8, 134 PACIFIC HIGHWAY",West,3466.51
"UNIT 5, 154 PACIFIC HIGHWAY",West,3530.07
"UNIT 7, 154 PACIFIC HIGHWAY",West,3530.07
1 KELBURN ROAD,West,3802.97
14 KELBURN ROAD,West,3845.88
3 ROSLYN AVENUE,West,3685.18
4 ROSLYN AVENUE,West,3746.66
"UNIT 4, 167 PACIFIC HIGHWAY",West,3687.27
"UNIT 7, 167 PACIFIC HIGHWAY",West,3687.27
"UNIT 9, 167 PACIFIC HIGHWAY",West,3687.27
170 PACIFIC HIGHWAY,West,3545.23
172 PACIFIC HIGHWAY,West,3560.17
"UNIT 10, 174 PACIFIC HIGHWAY",West,3577.74
"UNIT 11, 174 PACIFIC HIGHWAY",West,3577.74
5 SCOTT CRESCENT,North,1985.34
6 SCOTT CRESCENT,North,2029.74
7 CHASE AVENUE,North,3219.09
22 GLEN ROAD,West,3592.22
24 GLEN ROAD,West,3609.02
25 GLEN ROAD,West,3669.9
33 OLIVER ROAD,West,3299.66
71 BABBAGE ROAD,North,2440.01
73 BABBAGE ROAD,North,2429.34
74 BABBAGE ROAD,North,2194.25
75 BABBAGE ROAD,North,2423.63
16 CLERMISTON AVENUE,West,2650.23
19 CLERMISTON AVENUE,North,2626.81
2A CLERMISTON AVENUE,West,2522.8
2 CLERMISTON AVENUE,West,2514.51
"UNIT 39, 6 LARKIN STREET",West,3429.47
"UNIT 4, 6 LARKIN STREET",West,3429.47
"UNIT 7, 6 LARKIN STREET",West,3429.47
"UNIT 17, 8 LARKIN STREET",West,3457.43
"UNIT 18, 8 LARKIN STREET",West,3457.43
"UNIT 19, 8 LARKIN STREET",West,3457.43
"UNIT 20, 8 LARKIN STREET",West,3457.43
"UNIT 21, 8 LARKIN STREET",West,3457.43
20 CORONA AVENUE,West,3203.97
24 CORONA AVENUE,West,3251.4
3 CORONA AVENUE,West,3121.67
"UNIT 5, 184 PACIFIC HIGHWAY",West,3683.01
"UNIT 6, 184 PACIFIC HIGHWAY",West,3683.01
71 SHIRLEY ROAD,West,3924.76
73A SHIRLEY ROAD,West,3954.58
