address,orientation,distance_m
"UNIT 608, 1015 PACIFIC HIGHWAY",West,2877.72
"UNIT 128, 1015 PACIFIC HIGHWAY",West,2877.72
"UNIT 405, 1015 PACIFIC HIGHWAY",West,2877.72
7 CHARLES STREET,North,14.52
22 THE PARAPET,South-West,16.52
24 THE PARAPET,South,20.84
27 THE PARAPET,South-East,28.35
109 EASTERN VALLEY WAY,North-West,42.05
73 EASTERN VALLEY WAY,South-West,28.67
3 THE BARRICADE,North,11.53
7 THE BARRICADE,South,22.73
9 THE BARRICADE,South,15.73
18 HOLLY STREET,North,1668.7
2A HOLLY STREET,North,1718.59
2B HOLLY STREET,North,1740.88
26 HOLLY STREET,North,1690.88
44 HOLLY STREET,North,1812.05
7 HOLLY STREET,North,1622.44
8 HOLLY STREET,North,1689.43
36 CAMMARAY ROAD,North,696.87
1 CAMMARAY ROAD,North,881.27
10 CAMMARAY ROAD,North,968.11
12 CAMMARAY ROAD,North,901.05
23 CAMMARAY ROAD,North,1065.38
30 CAMMARAY ROAD,North,714.9
34 CAMMARAY ROAD,North,712.03
4 WIDGIEWA ROAD,North-East,192.19
6 THE PARAPET,West,27.6
11 THE RAMPART,South-West,19.75
"UNIT 1, 125 EASTERN VALLEY WAY",North,37.12
30A ORMONDE ROAD,North,2937.77
1 THE KINGSWAY,North,2655.44
12 THE KINGSWAY,North,2693.14
13 THE KINGSWAY,North,2629.12
14 THE KINGSWAY,North,2728.81
15A THE KINGSWAY,North,2584.45
15 THE KINGSWAY,North,2604.78
16 THE KINGSWAY,North,2744.13
2 THE KINGSWAY,North,2708.2
1 BABBAGE ROAD,North,2260.16
101 BABBAGE ROAD,North,2074.57
11 BABBAGE ROAD,North,2358.87
15 BABBAGE ROAD,North,2366.86
23 BABBAGE ROAD,North,2392.24
25 BABBAGE ROAD,North,2399.1
3 BABBAGE ROAD,North,2277.46
17 DUDLEY AVENUE,North,3188.18
20 DUDLEY AVENUE,North,3242.51
22 DUDLEY AVENUE,North,3242.91
23 DUDLEY AVENUE,North,3174.91
35 LONGFORD STREET,West,4154.7
5 LONGFORD STREET,West,4162.72
6 LONGFORD STREET,West,4103.17
47 PACIFIC HIGHWAY,West,3134.96
"UNIT 2, 49 PACIFIC HIGHWAY",West,3149.16
"UNIT 4, 49 PACIFIC HIGHWAY",West,3149.16
49 PACIFIC HIGHWAY,West,3149.16
43 GRIFFITH AVENUE,North,2249.2
47 GRIFFITH AVENUE,North,2261.36
51 GRIFFITH AVENUE,North,2284.97
53 GRIFFITH AVENUE,North,2320.91
55 GRIFFITH AVENUE,North,2357.43
16 BARANA PARADE,North,2390.73
17 BARANA PARADE,North,2328.13
19 BARANA PARADE,North,2325.55
20 BARANA PARADE,North,2377.91
21 BARANA PARADE,North,2323.47
20 DUNTROON AVENUE,North,2426.64
21 DUNTROON AVENUE,North,2376.17
"UNIT 36, 5-17 PACIFIC HIGHWAY",West,3008.18
"UNIT 37, 5-17 PACIFIC HIGHWAY",West,3011.94
23 THOMAS AVENUE,West,3846.44
24 THOMAS AVENUE,West,3800.48
27 THOMAS AVENUE,West,3865.17
28 THOMAS AVENUE,West,3819.06
29 THOMAS AVENUE,West,3874.14
3 THOMAS AVENUE,West,3764.04
"UNIT 44, 5-17 PACIFIC HIGHWAY",West,3020.91
"UNIT 46, 5-17 PACIFIC HIGHWAY",West,3028.57
"UNIT 47, 5-17 PACIFIC HIGHWAY",West,3027.27
"UNIT 48, 5-17 PACIFIC HIGHWAY",West,3030.33
"UNIT 50, 5-17 PACIFIC HIGHWAY",West,3032.81
